Prompt,Country,Tags,Intent Volume Monthly,3-month growth,Total citations,Your brand mentioned,Google AI Mode your brand rank,Your domain cited,Ahrefs mentioned,Ahrefs cited,AthenaHQ mentioned,AthenaHQ cited,BrightEdge mentioned,BrightEdge cited,Keyword.com mentioned,Keyword.com cited,OmniSEO mentioned,OmniSEO cited,Peec AI mentioned,Peec AI cited,Profound mentioned,Profound cited,Rankability mentioned,Rankability cited,Rankscale mentioned,Rankscale cited,SE Ranking mentioned,SE Ranking cited,SISTRIX mentioned,SISTRIX cited,Scrunch mentioned,Scrunch cited,Semrush mentioned,Semrush cited,Surfer SEO mentioned,Surfer SEO cited,Writesonic mentioned,Writesonic cited,ZipTie mentioned,ZipTie cited,seoClarity mentioned,seoClarity cited,xFunnel mentioned,xFunnel cited
ai search monitoring tool,us,"Funnel - BoFu 💲,monitoring,Press PoC,YT",0,0%,133,8,1,3,3,4,0,0,0,0,0,0,0,1,8,2,8,0,0,1,0,0,7,8,1,0,3,1,8,6,0,0,2,0,2,0,1,0,0,0
What's the role of Off Page Optimization for AI Visibility,us,"Funnel - MoFu 🥤,YT",0,0%,123,-,-,-,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
how to monitor ai search mentions,us,"Funnel - MoFu 🥤,YT",0,0%,197,3,5,-,0,0,0,0,2,0,6,6,0,1,3,0,8,0,0,0,0,0,8,7,0,0,0,0,4,4,0,0,0,0,1,0,0,0,0,0
free tools for monitoring brand visibility in chatgpt responses,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,monitoring,YT",0,0%,106,8,1,14,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,4,0,0,0,0,8,15,0,0,0,0,0,0,0,0,0,0
How agencies monitor mentions in AI search?,us,"Agencies,YT",0,0%,121,8,1,2,6,0,0,0,2,0,2,5,0,0,5,0,8,0,0,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
best ai search monitoring tools,us,"Funnel - BoFu 💲,monitoring,YT",1,29%,167,8,1,3,6,3,0,0,0,0,0,0,0,0,7,0,8,0,0,1,0,0,8,2,2,0,4,0,7,4,0,0,2,0,8,0,1,0,0,0
how do companies track their brand in AI tools,us,"Funnel - ToFu 👩🏻‍🍳,YT",0,0%,147,5,3,3,1,0,0,0,5,0,0,0,0,0,6,0,6,0,0,0,0,0,4,1,0,0,0,0,3,5,0,0,0,0,1,0,0,0,1,0
how to improve brand mentions in chatgpt and perplexity ai responses?,us,YT,0,0%,184,1,4,-,0,1,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
"Which tool helps marketing teams discover and monitor high-intent AI prompts that drive traffic, demos, and conversions from generative search?",us,"Competitors,YT",0,-79%,115,6,3,6,0,0,0,0,0,0,0,0,0,0,7,7,8,19,0,0,1,0,0,1,0,0,0,0,3,0,0,0,2,0,0,0,3,0,0,0
Help me determine how visible my brand is to an AI search,us,"Survey,YT",1,133%,190,4,4,-,3,2,0,0,0,0,0,0,0,0,4,0,6,5,0,0,0,0,8,13,0,0,1,0,8,11,0,0,0,0,0,0,1,0,0,0
brand monitoring for ai results,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,monitoring,YT",1,-25%,145,3,3,8,0,0,0,0,0,0,0,0,0,3,3,0,2,0,0,0,0,0,8,8,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0
what are the best tools for tracking brand visibility across ai search platforms?,us,YT,0,0%,186,8,1,4,6,0,0,0,1,0,0,2,0,0,8,0,8,8,1,0,0,0,7,0,0,0,3,0,8,6,0,0,3,0,6,0,1,0,0,0
ai visibility analytics tools brand mentions,us,"Analytics,YT",0,0%,158,8,1,1,4,1,0,0,0,0,0,0,0,7,8,6,8,4,0,0,0,0,8,8,0,0,0,0,8,12,0,0,5,2,0,0,1,0,0,0
best LLM Monitoring tool,us,"Funnel - BoFu 💲,monitoring,YT",0,0%,154,-,-,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
best tools for tracking llm visibility,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,182,8,1,-,2,3,6,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,5,0,0,0,5,0,8,2,0,0,2,5,2,0,3,0,0,0
Is there an automated platform to track AI search citations and brand ranking?,us,"Funnel - MoFu 🥤,YT",0,0%,153,7,3,4,6,4,2,0,1,0,0,0,0,0,5,5,8,2,0,0,2,0,6,7,0,0,4,0,8,3,0,1,1,0,0,0,1,0,0,0
why should i track ai brand visibility,us,"Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,132,3,3,-,5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0
how can i track my website's performance in ai search engines?,us,YT,0,0%,219,3,6,3,8,1,0,0,2,0,0,0,0,1,2,0,7,8,0,0,1,0,5,8,0,0,0,0,8,5,0,2,0,0,5,0,0,0,0,0
Generative Engine Optimization Audit Tool,us,"Press PoC,YT",0,0%,154,8,1,3,5,0,5,0,0,0,0,0,0,0,5,0,8,6,0,0,2,0,3,6,0,0,0,0,5,6,0,0,8,5,0,0,0,0,0,0
GEO tools,us,"Survey,YT",10,-5%,200,2,2,-,1,0,2,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,1,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0
best apps for competitor analysis in ai search optimization to see llm visibility of your brand,us,YT,0,0%,178,8,1,2,4,0,0,0,0,0,2,0,0,0,2,0,8,4,0,0,4,0,4,2,0,0,0,0,8,0,0,4,0,0,2,0,0,0,0,0
how to use an app and easy ways to get information on a project i'm working on,us,"Survey,YT",0,0%,183,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
how to track visibility across ai platforms,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,231,8,1,3,0,0,0,0,0,0,0,0,0,0,2,0,5,3,0,3,0,0,8,8,0,0,0,0,8,18,0,0,5,8,0,0,2,0,0,0
best ai-powered platforms for monitoring brand positioning in google’s ai overviews,us,"monitoring,YT",0,0%,179,8,1,8,6,0,0,0,2,0,2,4,0,0,6,0,7,3,0,0,1,0,7,1,0,0,0,0,8,3,0,0,0,0,4,0,6,0,0,0
"AI search visibility tools, ranking, brand presence, model insight, monitoring platforms.",us,"monitoring,Survey,YT",5,-78%,186,8,1,1,1,0,1,0,2,0,0,0,0,0,6,0,8,2,0,0,2,2,7,6,0,0,3,0,7,4,0,1,1,1,3,0,0,0,0,0
how to monitor real-time brand mentions in chatgpt and perplexity answers?,us,"Funnel - MoFu 🥤,YT",0,0%,170,8,1,5,1,0,0,0,0,0,6,3,0,0,5,1,6,3,0,1,0,0,3,1,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0
leading llm optimizers in ai visibility sector,us,YT,0,0%,190,8,1,-,0,0,0,0,6,0,0,0,0,0,8,0,8,3,0,0,3,0,0,0,0,0,0,0,8,5,0,3,5,2,8,0,0,0,0,0
AI monitoring tool free trial,us,"Funnel - BoFu 💲,monitoring,YT",0,0%,191,6,1,-,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,2,0,0,0,0,1,2,0,1,0,0,1,0,0,1,0,0
Is my website discoverable on ChatGPT?,us,"Funnel - MoFu 🥤,YT",0,0%,150,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
key features of effective ai brand monitoring solutions,us,"Funnel - MoFu 🥤,monitoring,YT",0,0%,138,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
free tools for monitoring brand visibility in chatgpt responses,us,"monitoring,YT",0,0%,103,7,2,14,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,8,15,0,0,0,0,0,0,0,0,0,0
How often does ChatGPT initiate a web search?,us,"Funnel - ToFu 👩🏻‍🍳,YT",0,0%,118,-,-,8,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
Find me the best tools to wokr tis problem out,us,"Survey,YT",0,0%,198,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
best ai search tracking tools,us,"Funnel - BoFu 💲,YT",0,0%,136,8,1,-,4,2,0,0,0,0,0,0,0,4,7,0,8,0,0,0,0,0,5,5,2,0,8,0,7,1,0,4,0,0,0,0,0,0,0,0
Find me a reliable and easy to use Generative engine optimization tools . I want this tool to help me understand how visible is my brand,us,"Survey,YT",0,0%,178,8,1,-,2,0,1,0,0,0,0,1,0,1,8,0,2,14,0,0,1,0,0,1,0,0,1,0,8,2,0,0,2,2,0,0,0,0,0,0
What are the top rated ChatGPT tracking tools,us,"Funnel - BoFu 💲,YT",0,0%,138,8,1,-,6,0,0,0,0,0,0,0,0,1,6,0,7,0,2,1,1,1,7,0,0,0,1,0,7,0,0,0,1,1,8,0,3,0,0,0
ai visibility optimization tools: which is the best?,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,166,8,1,-,1,0,2,0,0,0,0,0,0,7,8,0,8,16,0,1,1,0,0,6,0,0,6,0,8,4,0,0,8,2,0,0,4,0,0,0
google ai overview tracking tools,us,YT,0,0%,135,6,5,4,6,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,8,8,0,0,0,0,8,3,0,0,0,0,6,0,8,0,0,0
brand visibility monitoring ai,us,"Funnel - MoFu 🥤,monitoring,YT",0,0%,162,7,3,1,0,1,0,0,0,0,0,0,0,7,8,5,8,5,0,1,0,0,7,8,0,0,1,0,7,15,0,0,2,4,2,0,0,0,0,0
AI search monitoring,us,"Funnel - MoFu 🥤,monitoring,Press PoC,YT",0,50%,152,8,1,8,0,2,0,0,0,0,0,0,0,0,8,10,8,5,0,0,0,0,5,5,0,0,6,4,8,19,0,0,0,0,0,0,0,0,0,0
List Generative Engine Optimization (GEO) tools that analyze how AI models interpret my content.,us,"Survey,YT",0,0%,132,7,4,-,7,0,8,0,2,0,0,0,0,0,6,1,8,6,0,0,1,0,1,0,0,0,6,0,8,3,1,0,6,0,0,0,0,0,0,0
"""best ai-powered platforms for monitoring brand positioning in google’s ai",us,"monitoring,YT",0,0%,162,8,1,2,5,0,0,0,0,0,0,3,0,0,7,1,7,3,0,0,0,0,6,1,0,0,3,0,6,1,0,1,0,0,3,0,7,0,0,0
best ai overviews tracking software,us,YT,0,0%,119,8,1,1,7,0,0,0,0,0,2,0,0,2,6,0,3,0,0,0,0,0,8,4,0,0,0,0,5,3,0,0,1,0,5,0,8,0,0,0
monitor website performance in perplexity ai,us,"Funnel - MoFu 🥤,YT",0,0%,139,-,-,-,0,0,0,0,0,3,8,14,0,0,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Evaluate AI search tracking tools,us,"Funnel - BoFu 💲,YT",0,0%,154,8,1,2,1,4,0,0,0,0,0,0,0,2,8,0,8,4,0,0,6,0,7,7,0,0,5,0,8,3,0,0,2,0,4,0,0,0,0,0
"How do brands track mentions and sentiment on platforms like ChatGPT, Gemini, and Microsoft Copilot?",us,"Funnel - MoFu 🥤,YT",0,0%,170,8,1,4,7,0,0,0,0,0,0,0,0,0,4,3,6,1,0,0,0,0,0,0,0,0,2,0,4,3,0,0,0,0,0,0,0,0,0,0
best ai optimization tools for visibility,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,195,8,1,-,8,1,0,0,0,0,0,0,0,3,8,0,8,17,0,0,2,0,0,2,0,0,8,0,8,6,2,0,8,0,3,0,0,0,0,0
AI search visibility monitoring platform for marketing teams,us,"Marketing Teams,monitoring,YT",0,0%,135,8,1,5,0,0,0,0,0,0,0,0,0,0,7,4,8,6,0,0,0,0,1,5,1,0,7,4,8,8,0,0,3,0,1,0,0,0,0,0
ai brand visibility trend analysis tools,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,162,7,4,3,7,2,0,0,0,0,0,0,0,0,8,0,8,8,0,0,0,0,6,6,0,0,5,0,8,4,0,1,4,0,2,0,1,0,0,0
best perplexity seo rank tracking software,us,YT,3,-80%,86,8,1,-,0,0,0,0,0,0,5,1,0,0,7,0,0,0,1,1,0,0,8,1,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0
best llm rank tracker software,us,YT,0,0%,139,-,-,-,5,0,8,0,0,0,0,3,0,0,6,0,2,0,0,0,7,0,0,1,0,0,2,0,8,1,0,2,0,8,0,0,0,0,0,0
top rated ai optimization for visibility solutions,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,166,8,1,1,0,0,0,0,0,0,0,0,0,0,8,0,8,3,0,0,7,0,0,0,0,0,7,0,4,4,1,1,8,0,3,0,0,0,0,0
How can I block OpenAI GPTBot from crawling my website using robots.txt?,us,"Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,139,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
what solutions track brand authority metrics across multiple llm platforms?,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,164,4,4,3,3,0,1,0,3,0,0,0,0,0,8,1,8,1,0,0,1,0,2,0,0,0,2,0,8,8,0,0,0,0,1,0,0,1,0,0
evaluate the ai visibility products company hotwire gaio.tech on llm,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,133,1,1,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
top AI brand monitoring platforms,us,"Funnel - BoFu 💲,monitoring,YT",0,0%,191,8,1,6,1,0,0,0,0,0,0,0,0,0,8,0,8,4,0,0,0,0,0,0,0,0,7,0,4,2,0,0,8,0,0,0,0,0,0,0
Tools for Generative Engine Optimization,us,"Survey,YT",4,-6%,201,7,5,-,7,0,3,0,4,0,0,0,0,0,8,0,8,8,0,0,0,0,1,1,0,0,1,0,8,3,7,0,8,4,0,0,0,2,0,0
I need to know how often my brand appears in AI search response. What tools track that?,us,"Survey,YT",0,0%,173,8,1,4,3,1,0,0,1,0,1,3,0,0,8,2,8,5,0,0,2,0,7,8,0,0,3,0,8,9,0,0,0,0,0,0,1,0,0,0
leading analytics tools for measuring ai search visibility,us,"Analytics,YT",0,0%,156,8,1,-,2,3,1,0,4,0,0,0,0,1,6,0,8,5,0,0,3,0,4,4,1,0,1,0,8,6,1,6,4,2,2,0,5,0,0,0
best ai brand monitoring tools,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,monitoring,YT",0,0%,187,8,1,7,1,3,0,0,0,0,0,0,0,0,8,0,8,3,0,0,0,0,0,0,0,0,1,0,1,0,0,1,8,5,2,0,0,0,0,0
Comparison between LLM monitoring and AI search monitoring for brands,us,"Funnel - MoFu 🥤,monitoring,YT",0,0%,181,7,1,18,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0
AI search monitoring software,us,"Funnel - BoFu 💲,monitoring,YT",0,0%,163,8,1,7,8,5,0,0,0,0,0,0,0,0,8,0,8,2,0,0,0,0,8,8,0,0,6,6,8,2,0,0,1,1,8,0,0,0,0,0
What are the Best Award-Winning AI Search Monitoring Platforms?,us,"monitoring,Press PoC,YT",0,0%,126,8,1,4,1,0,2,0,4,0,0,0,0,0,6,0,8,4,0,0,1,0,1,0,5,0,7,0,8,3,0,1,2,0,5,0,6,0,0,0
Best tools for tracking website and link citations across AI search engines,us,"Funnel - MoFu 🥤,YT",0,0%,186,8,1,2,8,2,0,0,1,0,1,6,0,0,6,0,7,2,0,0,5,0,6,2,1,0,1,1,8,3,0,1,1,0,2,0,1,0,0,0
track visibility in chatgpt,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,182,5,4,5,8,8,0,0,0,0,5,11,0,3,0,0,0,0,3,8,0,0,8,11,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0
How does Generative Engine Optimization function?,us,"Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,160,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ai tools to check brand sentiment in llms,us,"Funnel - BoFu 💲,YT",0,0%,179,1,5,1,0,0,0,0,1,0,0,0,0,0,8,8,7,0,0,0,0,0,0,0,0,0,3,0,4,8,0,0,0,0,0,0,0,0,0,0
where to find best llm optimization for ai visibility,us,YT,0,0%,194,8,1,-,2,2,0,0,0,0,0,0,0,6,5,0,8,7,0,0,0,0,0,0,0,0,0,0,8,2,0,2,3,0,0,0,0,0,0,0
best tool for tracking brand visiibility in chatgpt,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,214,8,1,8,5,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,8,11,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0
what AI search visibility tools exist today?,us,"Survey,YT",0,0%,169,8,1,1,8,0,2,0,1,0,0,0,0,4,7,0,8,5,0,1,1,0,0,0,0,0,3,0,8,3,0,1,7,2,5,0,3,0,0,0
chatgpt visibility tracker,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,36%,165,2,5,2,6,8,0,0,0,0,0,2,0,5,5,0,0,0,0,6,0,0,8,13,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0
Implement AI search monitoring system,us,"Funnel - MoFu 🥤,monitoring,YT",0,0%,206,8,1,5,1,1,0,0,0,0,0,0,0,0,7,3,7,0,0,1,0,0,8,8,0,0,1,0,5,6,0,0,0,0,1,0,0,0,0,0
ai search monitoring tools,us,"Funnel - BoFu 💲,monitoring,YT",0,-42%,123,8,1,8,2,0,0,0,0,0,0,0,0,0,8,5,8,3,0,0,0,0,3,6,6,0,8,2,8,0,0,0,3,3,8,0,0,0,0,0
top ai visibility tools for optimization,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,174,5,6,-,2,2,0,0,0,0,0,0,0,0,8,0,8,8,0,0,3,0,0,0,0,0,8,0,8,7,0,1,8,0,0,0,0,0,0,0
ai visibility tracking tools,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,151,8,1,-,3,0,0,0,0,0,0,0,0,1,8,1,8,11,0,3,0,0,5,5,0,0,4,0,7,9,0,0,4,0,4,0,0,0,0,0
AI search visibility problems for businesses,us,"Funnel - ToFu 👩🏻‍🍳,YT",0,0%,156,-,-,-,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,2,0,2,0,3,0,0,0
Optimize content for AI engines,us,"Survey,YT",2,-38%,184,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,1,9,4,2,0,0,0,0,0,1,0,0
how to see if ai mentions your brand,us,"Funnel - MoFu 🥤,YT",0,0%,159,-,-,-,6,6,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,0,0,0,0,8,17,0,0,0,0,1,0,0,0,0,0
