Prompt,Country,Tags,Intent Volume Monthly,3-month growth,Total citations,Your brand mentioned,Google AI Overview your brand rank,Your domain cited,Ahrefs mentioned,Ahrefs cited,AthenaHQ mentioned,AthenaHQ cited,BrightEdge mentioned,BrightEdge cited,Keyword.com mentioned,Keyword.com cited,OmniSEO mentioned,OmniSEO cited,Peec AI mentioned,Peec AI cited,Profound mentioned,Profound cited,Rankability mentioned,Rankability cited,Rankscale mentioned,Rankscale cited,SE Ranking mentioned,SE Ranking cited,SISTRIX mentioned,SISTRIX cited,Scrunch mentioned,Scrunch cited,Semrush mentioned,Semrush cited,Surfer SEO mentioned,Surfer SEO cited,Writesonic mentioned,Writesonic cited,ZipTie mentioned,ZipTie cited,seoClarity mentioned,seoClarity cited,xFunnel mentioned,xFunnel cited
ai search monitoring tool,us,"Funnel - BoFu 💲,monitoring,Press PoC,YT",0,0%,122,11,1,5,6,5,0,0,1,0,5,0,0,1,11,2,10,0,8,3,9,0,8,0,0,0,4,0,8,1,0,0,4,0,3,0,6,0,0,0
What's the role of Off Page Optimization for AI Visibility,us,"Funnel - MoFu 🥤,YT",0,0%,246,-,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0
how to monitor ai search mentions,us,"Funnel - MoFu 🥤,YT",0,0%,348,28,2,-,12,7,0,0,8,0,2,1,1,1,14,1,24,0,0,0,5,0,17,12,0,0,1,0,29,50,0,0,0,0,1,0,0,0,0,0
free tools for monitoring brand visibility in chatgpt responses,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,monitoring,YT",0,0%,327,23,3,15,8,6,0,0,0,0,2,0,0,0,8,0,1,0,1,1,3,0,25,28,0,0,0,0,27,32,0,1,1,0,5,0,0,0,0,0
How agencies monitor mentions in AI search?,us,"Agencies,YT",0,0%,306,26,1,-,10,1,0,0,2,0,7,6,0,0,21,0,18,0,0,0,5,0,12,7,0,0,0,0,14,14,0,0,0,0,2,0,0,0,2,0
best ai search monitoring tools,us,"Funnel - BoFu 💲,monitoring,YT",1930,-40%,314,29,1,4,13,0,1,0,0,0,0,0,0,0,29,0,29,0,6,6,0,0,14,0,0,0,20,0,24,23,0,0,22,9,6,0,1,0,0,0
how do companies track their brand in AI tools,us,"Funnel - ToFu 👩🏻‍🍳,YT",0,0%,309,27,1,-,5,0,0,0,4,0,0,0,0,1,11,0,13,0,1,0,5,0,6,0,0,0,1,0,16,17,0,0,0,0,1,0,2,0,2,0
how to improve brand mentions in chatgpt and perplexity ai responses?,us,YT,0,0%,281,1,5,1,7,6,0,0,1,0,13,5,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,12,11,0,0,0,0,0,0,0,0,0,0
"Which tool helps marketing teams discover and monitor high-intent AI prompts that drive traffic, demos, and conversions from generative search?",us,"Competitors,YT",580,-79%,258,25,2,15,8,0,5,0,1,0,1,0,0,0,27,12,23,25,0,0,3,0,1,0,0,0,2,0,12,1,0,1,10,1,11,0,1,1,2,0
Help me determine how visible my brand is to an AI search,us,"Survey,YT",2030,133%,524,26,2,-,8,0,0,0,1,1,1,1,0,2,21,2,9,1,1,1,5,0,14,13,0,0,0,0,29,44,0,1,1,0,4,0,1,1,0,0
brand monitoring for ai results,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,monitoring,YT",2030,-25%,355,25,2,-,3,1,4,0,0,0,11,11,1,0,12,0,10,6,0,0,0,0,22,4,0,0,0,0,26,45,0,0,2,0,0,0,0,0,0,0
what are the best tools for tracking brand visibility across ai search platforms?,us,YT,0,0%,320,26,3,-,25,0,1,0,1,0,2,0,0,0,26,0,28,29,3,3,10,0,25,1,1,0,18,0,27,14,3,0,18,5,15,0,12,0,5,0
ai visibility analytics tools brand mentions,us,"Analytics,YT",0,0%,189,16,1,-,10,0,0,0,0,0,1,0,0,1,14,1,16,0,0,0,10,0,7,4,0,0,6,0,13,9,0,0,4,0,2,0,7,0,0,0
best LLM Monitoring tool,us,"Funnel - BoFu 💲,monitoring,YT",0,0%,315,-,-,-,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
best tools for tracking llm visibility,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,274,26,3,-,12,4,7,0,0,0,2,0,0,0,28,0,28,0,3,3,15,0,0,0,0,0,25,0,18,0,0,0,7,1,8,0,2,0,0,0
Is there an automated platform to track AI search citations and brand ranking?,us,"Funnel - MoFu 🥤,YT",0,0%,258,28,1,2,15,7,2,0,0,0,0,0,0,3,11,0,20,5,2,2,9,3,24,24,0,0,2,0,10,5,0,0,4,5,1,0,2,0,3,0
why should i track ai brand visibility,us,"Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,260,1,2,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,31,0,0,0,0,0,0,0,0,0,0
how can i track my website's performance in ai search engines?,us,YT,0,0%,305,20,2,4,6,0,0,0,2,0,5,0,0,0,5,0,3,1,5,5,15,3,27,20,0,0,2,0,14,7,1,1,3,0,9,0,5,1,1,0
Generative Engine Optimization Audit Tool,us,"Press PoC,YT",0,0%,59,6,1,3,1,0,4,0,0,0,0,0,0,0,2,0,5,1,0,0,4,0,3,1,0,0,1,0,5,3,0,0,3,0,0,0,0,0,0,0
GEO tools,us,"Survey,YT",29000,-5%,62,2,1,-,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0
best apps for competitor analysis in ai search optimization to see llm visibility of your brand,us,YT,0,0%,325,28,3,-,25,2,0,0,0,0,0,0,10,5,26,0,29,2,2,2,1,0,2,0,0,0,2,0,29,16,0,0,3,1,22,0,1,0,1,0
how to use an app and easy ways to get information on a project i'm working on,us,"Survey,YT",0,0%,314,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
how to track visibility across ai platforms,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,369,21,2,-,12,0,0,0,0,0,0,0,0,0,15,0,16,0,11,11,11,7,22,15,0,0,2,0,15,18,0,0,3,1,6,0,11,0,0,0
best ai-powered platforms for monitoring brand positioning in google’s ai overviews,us,"monitoring,YT",0,0%,316,29,1,3,9,2,5,0,2,0,2,1,2,0,17,0,26,2,2,2,8,0,28,0,0,0,6,0,7,0,0,1,7,0,10,0,13,0,2,0
"AI search visibility tools, ranking, brand presence, model insight, monitoring platforms.",us,"monitoring,Survey,YT",13920,-78%,435,28,3,11,22,1,7,0,0,0,0,0,0,1,29,0,29,9,13,13,12,0,15,2,2,0,20,0,25,8,2,4,23,2,8,0,3,0,0,0
how to monitor real-time brand mentions in chatgpt and perplexity answers?,us,"Funnel - MoFu 🥤,YT",0,0%,325,20,2,19,14,13,0,0,2,0,28,22,0,0,0,0,1,0,12,12,0,0,1,0,0,0,0,0,3,1,0,0,1,1,0,0,1,0,0,0
leading llm optimizers in ai visibility sector,us,YT,0,0%,306,28,1,-,8,0,5,0,3,0,0,0,0,0,27,0,24,11,0,0,24,0,0,0,0,0,19,0,25,23,13,3,16,5,15,0,3,0,0,0
AI monitoring tool free trial,us,"Funnel - BoFu 💲,monitoring,YT",0,0%,435,8,2,-,0,0,0,0,0,0,0,0,0,0,13,2,8,4,4,4,2,0,3,1,0,0,3,0,5,5,0,2,0,0,1,0,0,0,0,0
Is my website discoverable on ChatGPT?,us,"Funnel - MoFu 🥤,YT",0,0%,224,2,3,-,4,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
key features of effective ai brand monitoring solutions,us,"Funnel - MoFu 🥤,monitoring,YT",0,0%,306,17,1,17,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
free tools for monitoring brand visibility in chatgpt responses,us,"monitoring,YT",0,0%,362,26,1,15,12,10,0,0,0,0,4,1,1,1,13,0,7,1,0,0,1,0,21,21,0,0,0,0,25,34,0,1,1,0,2,0,1,0,0,0
How often does ChatGPT initiate a web search?,us,"Funnel - ToFu 👩🏻‍🍳,YT",0,0%,250,28,1,28,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0
Find me the best tools to wokr tis problem out,us,"Survey,YT",0,0%,555,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
best ai search tracking tools,us,"Funnel - BoFu 💲,YT",0,0%,306,29,1,5,15,0,3,0,0,0,2,0,2,0,28,0,27,2,7,7,10,0,25,0,1,0,23,0,27,18,3,0,22,2,14,0,12,0,0,0
Find me a reliable and easy to use Generative engine optimization tools . I want this tool to help me understand how visible is my brand,us,"Survey,YT",0,0%,343,28,1,-,5,0,4,0,0,0,0,0,0,0,27,0,24,27,1,2,5,0,5,1,0,0,4,0,23,16,4,0,18,6,8,0,0,0,0,0
What are the top rated ChatGPT tracking tools,us,"Funnel - BoFu 💲,YT",0,0%,331,29,1,-,19,0,3,0,0,0,3,0,1,0,24,0,28,0,7,7,5,0,28,0,0,0,21,0,16,1,0,0,9,3,22,0,3,0,0,0
ai visibility optimization tools: which is the best?,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",290,0%,297,29,1,-,11,2,6,0,0,0,0,0,0,0,27,0,29,23,15,15,20,0,9,0,0,0,20,0,24,24,0,0,18,0,7,0,0,0,2,0
google ai overview tracking tools,us,YT,0,0%,327,28,3,24,22,0,0,0,1,0,25,15,3,2,2,0,13,1,0,0,5,0,29,3,0,0,0,0,29,2,0,0,0,0,7,0,7,2,0,0
brand visibility monitoring ai,us,"Funnel - MoFu 🥤,monitoring,YT",0,0%,195,7,5,-,4,3,1,0,0,0,0,0,0,0,8,7,9,4,0,0,1,0,11,5,0,0,0,0,17,22,0,0,1,0,2,0,0,0,0,0
AI search monitoring,us,"Funnel - MoFu 🥤,monitoring,Press PoC,YT",1450,50%,54,5,1,2,0,0,0,0,0,0,0,0,0,0,4,3,3,3,2,2,1,0,4,3,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0
List Generative Engine Optimization (GEO) tools that analyze how AI models interpret my content.,us,"Survey,YT",0,0%,309,19,5,-,8,0,22,0,10,0,0,0,0,0,16,2,29,14,0,0,5,0,8,2,0,0,16,0,29,20,1,1,20,3,2,0,0,0,0,0
"""best ai-powered platforms for monitoring brand positioning in google’s ai",us,"monitoring,YT",0,0%,288,26,1,2,13,1,5,0,3,0,3,0,2,0,25,0,25,10,3,3,10,0,22,0,1,0,7,0,13,0,0,0,10,0,9,0,9,0,1,0
best ai overviews tracking software,us,YT,0,0%,302,29,1,2,5,0,1,0,1,0,1,0,11,12,10,0,28,5,1,1,28,0,28,0,0,0,4,0,10,1,2,0,9,1,24,0,16,0,0,0
monitor website performance in perplexity ai,us,"Funnel - MoFu 🥤,YT",0,0%,333,3,5,-,1,0,0,0,1,1,27,36,2,3,1,0,1,0,0,0,0,0,19,14,0,0,0,0,4,5,0,0,0,0,13,0,0,0,0,0
Evaluate AI search tracking tools,us,"Funnel - BoFu 💲,YT",0,0%,334,28,3,5,12,1,1,0,0,0,0,0,0,0,29,0,29,10,13,15,18,0,22,6,1,0,5,0,13,6,4,2,19,1,3,0,5,0,0,0
"How do brands track mentions and sentiment on platforms like ChatGPT, Gemini, and Microsoft Copilot?",us,"Funnel - MoFu 🥤,YT",0,0%,313,27,1,21,13,5,0,0,1,0,17,16,0,0,16,0,18,0,0,0,0,0,7,1,0,0,3,0,16,3,0,0,1,0,11,0,0,0,0,0
best ai optimization tools for visibility,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,302,29,1,1,12,2,6,0,0,0,0,0,0,1,29,0,29,20,12,13,17,0,11,0,0,0,17,0,22,22,0,0,17,0,12,0,0,0,4,0
AI search visibility monitoring platform for marketing teams,us,"Marketing Teams,monitoring,YT",0,0%,308,27,2,1,7,5,10,0,0,0,0,0,0,0,27,19,28,66,1,1,9,0,17,3,1,0,14,0,22,25,2,0,11,0,25,0,2,0,4,0
ai brand visibility trend analysis tools,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,326,27,1,-,9,3,2,0,1,0,0,0,0,5,22,0,26,8,2,2,13,0,16,5,0,0,3,0,21,13,1,1,9,0,16,0,5,0,3,0
best perplexity seo rank tracking software,us,YT,9280,-80%,258,29,1,-,3,0,0,0,0,0,24,1,0,1,27,0,12,0,25,14,3,0,29,0,0,0,0,0,6,0,0,0,0,0,22,0,0,0,0,0
best llm rank tracker software,us,YT,0,0%,263,24,1,1,11,0,3,0,1,0,11,9,0,0,23,0,22,0,5,5,13,0,13,0,0,0,19,0,20,7,0,2,11,13,6,0,2,0,0,0
top rated ai optimization for visibility solutions,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,314,26,3,-,3,0,6,0,1,0,1,0,0,0,25,0,29,14,0,0,11,0,6,0,0,0,11,0,29,30,3,0,23,0,22,0,1,0,1,0
How can I block OpenAI GPTBot from crawling my website using robots.txt?,us,"Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,393,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,2,2,0,0,0,0,0,0
what solutions track brand authority metrics across multiple llm platforms?,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,305,28,2,7,8,0,1,0,0,0,8,1,0,0,29,0,28,0,1,1,3,0,6,0,0,0,21,0,22,23,0,0,14,1,1,0,0,0,2,0
evaluate the ai visibility products company hotwire gaio.tech on llm,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,349,1,1,-,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
top AI brand monitoring platforms,us,"Funnel - BoFu 💲,monitoring,YT",0,0%,297,29,1,2,15,1,0,0,0,0,1,0,1,0,25,0,25,2,3,3,3,0,6,0,0,0,11,0,13,3,0,0,7,0,7,0,1,0,2,0
Tools for Generative Engine Optimization,us,"Survey,YT",11310,-6%,295,20,5,-,11,0,23,0,14,0,0,0,0,0,11,0,29,4,0,0,7,0,9,3,0,0,4,0,29,23,8,0,29,16,0,0,0,0,0,0
I need to know how often my brand appears in AI search response. What tools track that?,us,"Survey,YT",0,0%,330,29,1,2,12,4,0,0,3,0,1,1,0,0,28,0,18,0,0,0,6,0,20,8,0,0,0,0,29,41,0,0,0,0,23,0,6,0,2,0
leading analytics tools for measuring ai search visibility,us,"Analytics,YT",0,0%,330,29,1,1,13,4,4,0,2,0,0,0,1,2,27,0,27,8,3,3,10,0,17,3,3,0,15,0,23,15,1,0,16,3,14,0,12,0,5,0
best ai brand monitoring tools,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,monitoring,YT",0,0%,244,29,1,1,6,0,4,0,0,0,1,0,0,1,29,0,29,0,4,4,23,0,6,0,0,0,4,0,23,6,1,0,21,0,18,0,3,0,1,0
Comparison between LLM monitoring and AI search monitoring for brands,us,"Funnel - MoFu 🥤,monitoring,YT",0,0%,296,21,1,18,2,0,0,0,0,0,5,1,0,0,5,0,10,0,0,0,0,0,0,0,0,0,4,0,9,9,0,0,0,0,2,0,0,0,0,0
AI search monitoring software,us,"Funnel - BoFu 💲,monitoring,YT",1160,0%,147,15,1,11,4,0,1,0,2,0,2,0,0,0,14,1,15,5,4,3,11,0,9,6,0,0,8,1,6,2,0,0,11,1,5,0,6,0,2,0
What are the Best Award-Winning AI Search Monitoring Platforms?,us,"monitoring,Press PoC,YT",0,0%,333,29,1,5,10,0,11,0,0,0,0,0,1,1,28,0,29,4,7,8,12,0,12,1,2,0,18,0,15,5,2,1,22,1,11,0,10,0,1,0
Best tools for tracking website and link citations across AI search engines,us,"Funnel - MoFu 🥤,YT",0,0%,269,29,1,4,24,0,9,0,0,0,2,0,1,0,24,0,26,5,2,2,16,0,5,0,1,0,14,0,27,6,0,1,9,1,10,0,1,0,1,0
track visibility in chatgpt,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,346,3,7,-,22,21,0,0,0,0,25,3,5,6,3,0,2,0,12,12,0,0,24,17,0,0,0,0,28,34,0,0,1,1,0,0,0,0,0,0
How does Generative Engine Optimization function?,us,"Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,273,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0
ai tools to check brand sentiment in llms,us,"Funnel - BoFu 💲,YT",0,0%,313,25,4,6,3,0,0,0,1,0,2,0,3,0,29,12,27,0,0,0,3,0,0,0,0,0,3,0,26,40,0,0,1,0,1,0,0,0,3,0
where to find best llm optimization for ai visibility,us,YT,0,0%,373,21,6,-,19,0,16,0,0,0,0,0,0,0,27,0,29,6,10,10,27,0,10,0,0,0,26,0,29,27,0,0,17,11,16,0,0,0,0,0
best tool for tracking brand visiibility in chatgpt,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,341,29,1,21,12,6,0,0,0,0,7,7,2,0,24,0,19,11,0,0,0,0,29,23,0,0,1,0,9,1,0,0,5,0,19,0,0,0,0,0
what AI search visibility tools exist today?,us,"Survey,YT",0,0%,307,27,1,-,14,0,3,0,2,0,0,0,1,4,26,0,27,10,2,2,9,0,12,1,9,0,10,0,21,17,6,1,16,1,21,0,5,0,4,0
chatgpt visibility tracker,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",1450,36%,314,19,2,15,17,17,0,0,0,0,10,1,0,0,2,0,1,0,5,5,0,0,28,27,0,0,0,0,15,15,1,0,0,0,10,0,0,0,0,0
Implement AI search monitoring system,us,"Funnel - MoFu 🥤,monitoring,YT",0,0%,305,19,1,9,9,0,0,0,1,0,0,0,0,2,14,3,14,0,2,2,6,0,7,7,0,0,1,0,15,14,0,2,0,0,7,0,2,0,0,0
ai search monitoring tools,us,"Funnel - BoFu 💲,monitoring,YT",1770,-19%,287,25,1,12,11,7,0,0,3,0,8,0,0,3,25,5,21,0,14,7,18,0,17,1,0,0,10,0,15,4,2,2,10,0,7,0,11,0,0,0
top ai visibility tools for optimization,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,305,29,1,-,9,0,1,0,0,0,0,0,0,6,29,0,29,19,8,11,4,0,5,0,0,0,14,0,27,27,4,0,24,0,15,0,0,0,1,0
ai visibility tracking tools,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",290,0%,114,4,6,-,0,0,0,0,0,0,0,0,0,2,9,7,4,0,6,6,6,3,10,10,0,0,0,0,9,15,0,0,0,0,0,0,3,0,0,0
AI search visibility problems for businesses,us,"Funnel - ToFu 👩🏻‍🍳,YT",0,0%,299,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Optimize content for AI engines,us,"Survey,YT",4930,-38%,316,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,12,13,0,0,0,0,0,0,1,1,0,0
how to see if ai mentions your brand,us,"Funnel - MoFu 🥤,YT",0,0%,306,20,2,3,19,6,0,0,12,0,2,2,0,0,16,0,7,1,0,0,2,0,15,9,0,0,0,0,29,62,0,0,0,0,0,0,2,0,1,0
