Prompt,Country,Tags,Intent Volume Monthly,3-month growth,Total citations,Your brand mentioned,Microsoft Copilot your brand rank,Your domain cited,Ahrefs mentioned,Ahrefs cited,AthenaHQ mentioned,AthenaHQ cited,BrightEdge mentioned,BrightEdge cited,Keyword.com mentioned,Keyword.com cited,OmniSEO mentioned,OmniSEO cited,Peec AI mentioned,Peec AI cited,Profound mentioned,Profound cited,Rankability mentioned,Rankability cited,Rankscale mentioned,Rankscale cited,SE Ranking mentioned,SE Ranking cited,SISTRIX mentioned,SISTRIX cited,Scrunch mentioned,Scrunch cited,Semrush mentioned,Semrush cited,Surfer SEO mentioned,Surfer SEO cited,Writesonic mentioned,Writesonic cited,ZipTie mentioned,ZipTie cited,seoClarity mentioned,seoClarity cited,xFunnel mentioned,xFunnel cited
ai search monitoring tool,us,"Funnel - BoFu 💲,monitoring,Press PoC,YT",0,0%,22,5,2,-,2,0,1,0,0,0,0,0,0,0,5,0,5,0,2,2,1,0,0,0,0,0,6,0,5,0,1,0,0,0,3,0,0,0,0,0
What's the role of Off Page Optimization for AI Visibility,us,"Funnel - MoFu 🥤,YT",0,0%,41,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
how to monitor ai search mentions,us,"Funnel - MoFu 🥤,YT",0,0%,34,5,1,5,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0
free tools for monitoring brand visibility in chatgpt responses,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,monitoring,YT",0,0%,33,-,-,-,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
How agencies monitor mentions in AI search?,us,"Agencies,YT",0,0%,36,6,2,-,2,1,0,0,1,0,0,0,1,1,7,0,2,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0
best ai search monitoring tools,us,"Funnel - BoFu 💲,monitoring,YT",0,29%,30,7,1,-,0,0,1,0,0,0,0,0,0,0,6,0,7,0,2,2,3,0,0,0,0,0,6,0,5,0,0,0,0,0,4,0,0,0,0,0
how do companies track their brand in AI tools,us,"Funnel - ToFu 👩🏻‍🍳,YT",0,0%,31,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
how to improve brand mentions in chatgpt and perplexity ai responses?,us,YT,0,0%,29,-,-,-,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Which tool helps marketing teams discover and monitor high-intent AI prompts that drive traffic, demos, and conversions from generative search?",us,"Competitors,YT",0,-79%,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Help me determine how visible my brand is to an AI search,us,"Survey,YT",0,133%,34,-,-,-,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
brand monitoring for ai results,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,monitoring,YT",0,-25%,34,3,1,1,3,0,1,0,0,0,0,0,3,3,2,0,2,0,0,0,1,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
what are the best tools for tracking brand visibility across ai search platforms?,us,YT,0,0%,41,1,7,-,1,0,0,0,0,0,0,0,0,0,7,0,3,0,4,4,2,2,1,0,0,0,1,0,7,7,0,0,2,0,1,0,0,0,0,0
ai visibility analytics tools brand mentions,us,"Analytics,YT",0,0%,35,4,1,-,4,4,0,0,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
best LLM Monitoring tool,us,"Funnel - BoFu 💲,monitoring,YT",0,0%,19,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
best tools for tracking llm visibility,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,33,3,1,-,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,2,2,0,0,0,0,0,0
Is there an automated platform to track AI search citations and brand ranking?,us,"Funnel - MoFu 🥤,YT",0,0%,36,3,2,3,0,0,0,0,0,0,0,0,1,1,4,0,2,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
why should i track ai brand visibility,us,"Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,9,-,-,-,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
how can i track my website's performance in ai search engines?,us,YT,0,0%,35,7,1,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Generative Engine Optimization Audit Tool,us,"Press PoC,YT",0,0%,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEO tools,us,"Survey,YT",1,-5%,10,-,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
best apps for competitor analysis in ai search optimization to see llm visibility of your brand,us,YT,0,0%,44,-,-,-,0,0,0,0,0,0,0,0,0,0,7,0,2,0,5,5,0,0,0,0,0,0,0,0,6,6,0,0,1,0,0,0,0,0,0,0
how to use an app and easy ways to get information on a project i'm working on,us,"Survey,YT",0,0%,8,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
how to track visibility across ai platforms,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,35,7,1,-,5,0,0,0,0,0,0,0,5,7,4,0,3,0,1,1,7,0,1,0,0,0,1,0,7,7,4,0,0,0,1,0,0,0,0,0
best ai-powered platforms for monitoring brand positioning in google’s ai overviews,us,"monitoring,YT",0,0%,30,5,1,2,0,0,0,0,0,0,1,1,3,3,1,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI search visibility tools, ranking, brand presence, model insight, monitoring platforms.",us,"monitoring,Survey,YT",1,-78%,38,4,4,-,4,0,0,0,0,0,0,0,3,3,6,0,4,0,5,4,4,0,2,0,0,0,4,0,7,6,2,0,0,0,2,0,0,0,0,0
how to monitor real-time brand mentions in chatgpt and perplexity answers?,us,"Funnel - MoFu 🥤,YT",0,0%,33,4,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leading llm optimizers in ai visibility sector,us,YT,0,0%,23,3,3,-,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,2,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0
AI monitoring tool free trial,us,"Funnel - BoFu 💲,monitoring,YT",0,0%,28,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Is my website discoverable on ChatGPT?,us,"Funnel - MoFu 🥤,YT",0,0%,27,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
key features of effective ai brand monitoring solutions,us,"Funnel - MoFu 🥤,monitoring,YT",0,0%,28,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
free tools for monitoring brand visibility in chatgpt responses,us,"monitoring,YT",0,0%,34,-,-,-,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
How often does ChatGPT initiate a web search?,us,"Funnel - ToFu 👩🏻‍🍳,YT",0,0%,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Find me the best tools to wokr tis problem out,us,"Survey,YT",0,0%,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
best ai search tracking tools,us,"Funnel - BoFu 💲,YT",0,0%,15,1,8,-,3,0,0,0,0,0,0,0,0,0,4,0,2,0,4,4,0,0,5,0,0,0,1,0,4,1,3,0,0,0,1,0,0,0,0,0
Find me a reliable and easy to use Generative engine optimization tools . I want this tool to help me understand how visible is my brand,us,"Survey,YT",0,0%,29,1,7,-,0,0,5,0,1,0,0,0,0,0,2,0,2,0,0,0,4,0,0,0,0,0,1,0,6,4,1,0,3,3,0,0,0,0,0,0
What are the top rated ChatGPT tracking tools,us,"Funnel - BoFu 💲,YT",0,0%,30,3,2,1,0,0,2,0,1,0,0,0,0,0,7,0,2,0,1,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
ai visibility optimization tools: which is the best?,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,29,5,4,-,6,2,0,0,0,0,0,0,4,5,3,0,3,0,0,0,6,0,1,0,0,0,3,0,7,3,5,0,0,0,2,0,0,0,0,0
google ai overview tracking tools,us,YT,0,0%,31,7,1,-,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
brand visibility monitoring ai,us,"Funnel - MoFu 🥤,monitoring,YT",0,0%,34,3,4,-,4,0,0,0,0,0,0,0,3,4,3,0,4,0,0,0,1,0,0,0,0,0,0,0,7,3,3,0,0,0,0,0,0,0,0,0
AI search monitoring,us,"Funnel - MoFu 🥤,monitoring,Press PoC,YT",0,50%,28,4,1,-,3,0,1,0,0,0,0,0,0,0,4,0,4,0,2,2,3,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0
List Generative Engine Optimization (GEO) tools that analyze how AI models interpret my content.,us,"Survey,YT",0,0%,34,-,-,-,0,0,7,0,0,0,0,0,0,0,2,0,5,0,0,0,7,0,0,0,0,0,0,0,6,6,0,0,6,6,0,0,0,0,0,0
"""best ai-powered platforms for monitoring brand positioning in google’s ai",us,"monitoring,YT",0,0%,34,4,1,2,0,0,2,0,0,0,1,1,0,0,4,0,3,0,2,2,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0
best ai overviews tracking software,us,YT,0,0%,19,2,3,-,1,0,0,0,0,0,0,0,3,4,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
monitor website performance in perplexity ai,us,"Funnel - MoFu 🥤,YT",0,0%,33,7,1,7,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Evaluate AI search tracking tools,us,"Funnel - BoFu 💲,YT",0,0%,33,4,5,-,0,0,1,0,0,0,0,0,0,0,7,0,6,0,7,7,1,0,1,0,0,0,2,0,5,2,0,0,0,0,4,0,1,0,0,0
"How do brands track mentions and sentiment on platforms like ChatGPT, Gemini, and Microsoft Copilot?",us,"Funnel - MoFu 🥤,YT",0,0%,33,-,-,-,2,2,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
best ai optimization tools for visibility,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,35,5,7,-,7,0,0,0,0,0,0,0,6,7,6,0,4,0,0,0,6,0,1,0,0,0,2,0,7,2,6,1,1,0,2,0,0,0,0,0
AI search visibility monitoring platform for marketing teams,us,"Marketing Teams,monitoring,YT",0,0%,45,1,3,-,0,0,0,0,0,0,0,0,0,0,7,5,0,3,1,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
ai brand visibility trend analysis tools,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,29,3,2,-,3,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,5,4,1,0,0,0,1,0,0,0,0,0
best perplexity seo rank tracking software,us,YT,0,-80%,12,-,-,-,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
best llm rank tracker software,us,YT,0,0%,20,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
top rated ai optimization for visibility solutions,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,36,4,5,-,7,0,0,0,1,0,0,0,4,6,3,0,6,0,1,0,3,0,0,0,0,0,1,0,6,2,5,0,0,0,2,0,0,0,0,0
How can I block OpenAI GPTBot from crawling my website using robots.txt?,us,"Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,14,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
what solutions track brand authority metrics across multiple llm platforms?,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,35,1,4,-,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,5,5,0,0,0,0,2,0,0,0,0,0
evaluate the ai visibility products company hotwire gaio.tech on llm,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,25,-,-,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
top AI brand monitoring platforms,us,"Funnel - BoFu 💲,monitoring,YT",0,0%,31,5,3,-,2,0,2,0,0,0,0,0,0,0,6,0,6,0,0,0,3,0,0,0,0,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0
Tools for Generative Engine Optimization,us,"Survey,YT",1,-6%,22,1,6,-,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,4,4,1,0,4,4,0,0,0,0,0,0
I need to know how often my brand appears in AI search response. What tools track that?,us,"Survey,YT",0,0%,33,2,4,-,3,2,0,0,1,0,0,0,0,0,5,0,0,0,1,1,4,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
leading analytics tools for measuring ai search visibility,us,"Analytics,YT",0,0%,23,6,4,-,6,1,0,0,0,0,0,0,5,6,7,0,5,0,6,6,7,0,0,0,0,0,3,0,7,2,5,0,1,0,3,0,0,0,0,0
best ai brand monitoring tools,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,monitoring,YT",0,0%,15,3,1,-,3,0,0,0,0,0,0,0,1,2,1,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
Comparison between LLM monitoring and AI search monitoring for brands,us,"Funnel - MoFu 🥤,monitoring,YT",0,0%,31,1,3,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0
AI search monitoring software,us,"Funnel - BoFu 💲,monitoring,YT",0,0%,26,4,4,1,2,0,2,0,0,0,0,0,0,0,5,0,5,0,3,3,0,0,0,0,0,0,5,0,3,0,1,0,0,0,1,0,1,0,0,0
What are the Best Award-Winning AI Search Monitoring Platforms?,us,"monitoring,Press PoC,YT",0,0%,27,7,1,5,2,1,1,0,0,0,0,0,0,0,7,0,6,0,6,6,4,1,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0
Best tools for tracking website and link citations across AI search engines,us,"Funnel - MoFu 🥤,YT",0,0%,30,5,1,4,0,0,0,0,0,0,0,0,1,1,2,0,2,0,1,1,3,3,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
track visibility in chatgpt,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,19,1,5,-,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
How does Generative Engine Optimization function?,us,"Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,32,-,-,-,5,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,5,0,0,0,0,0,0,0
ai tools to check brand sentiment in llms,us,"Funnel - BoFu 💲,YT",0,0%,25,1,2,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
where to find best llm optimization for ai visibility,us,YT,0,0%,34,3,2,-,2,2,0,0,0,0,0,0,0,0,4,0,3,0,0,0,1,0,0,0,0,0,0,0,2,2,0,1,1,1,0,0,0,0,0,0
best tool for tracking brand visiibility in chatgpt,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,24,1,5,-,0,0,1,0,0,0,0,0,0,0,4,0,2,0,2,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
what AI search visibility tools exist today?,us,"Survey,YT",0,0%,41,7,1,-,7,0,0,0,1,0,0,0,6,6,6,0,6,0,3,3,7,0,1,0,0,0,5,0,7,6,6,0,2,0,5,0,0,0,1,0
chatgpt visibility tracker,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,36%,30,-,-,-,4,4,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,5,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Implement AI search monitoring system,us,"Funnel - MoFu 🥤,monitoring,YT",0,0%,5,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ai search monitoring tools,us,"Funnel - BoFu 💲,monitoring,YT",0,-42%,24,3,4,-,3,1,3,0,0,0,1,1,0,0,4,0,4,0,2,2,0,0,0,0,0,0,2,0,6,0,2,0,0,0,2,0,0,0,0,0
top ai visibility tools for optimization,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,31,5,4,-,5,0,1,0,0,0,0,0,4,4,7,0,5,0,0,0,7,0,0,0,0,0,1,0,7,4,3,0,0,0,2,0,0,0,0,0
ai visibility tracking tools,us,"Funnel - BoFu 💲,Funnel - MoFu 🥤,Funnel - ToFu 👩🏻‍🍳,YT",0,0%,28,7,1,-,6,0,1,0,0,0,0,0,2,3,6,0,6,0,0,0,7,0,0,0,0,0,3,0,7,4,1,0,0,0,5,0,0,0,0,0
AI search visibility problems for businesses,us,"Funnel - ToFu 👩🏻‍🍳,YT",0,0%,51,-,-,-,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Optimize content for AI engines,us,"Survey,YT",0,-38%,5,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
how to see if ai mentions your brand,us,"Funnel - MoFu 🥤,YT",0,0%,34,1,2,-,6,6,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
